Camera Status,CPU Temperature,Power Status
working,47.6,ok
working,47.1,ok
captured_image.jpg,working,47.1,ok
captured_image.jpg,working,46.5,ok
captured_image.jpg,working,46.5,ok
captured_image.jpg,working,46.5,ok
captured_image.jpg,working,47.1,ok
captured_image.jpg,working,47.1,ok
working,46.5,ok
working,46.5,ok
working,47.1,ok
working,46.5,ok
